1,3,200,0.078125,0.074566,1
2,3,200,0.101562,0.077546,1
4,3,200,0.148438,0.057837,1
6,3,200,0.101562,0.0371715,1
8,3,200,0.101562,0.037953,1
10,3,200,0.117188,0.0402015,1
12,3,200,0.109375,0.0415605,1
14,3,200,0.0859375,0.033205,1
16,3,200,0.148438,0.0476315,1
18,3,200,0.140625,0.0487495,1
20,3,200,0.15625,0.0553015,1
22,3,200,0.125,0.0523335,1
24,3,200,0.140625,0.046468,1
26,3,200,0.132812,0.049549,1
28,3,200,0.125,0.054718,1
30,3,200,0.101562,0.033973,1
30,3,200,0.132812,0.0492185,1
40,3,200,0.15625,0.0566995,1
50,3,200,0.171875,0.0542645,1
60,3,200,0.140625,0.046658,1
70,3,200,0.140625,0.053547,1
80,3,200,0.140625,0.05539,1
90,3,200,0.171875,0.0611385,1
100,3,200,0.148438,0.0582945,1
110,3,200,0.140625,0.048554,1
120,3,200,0.15625,0.0549015,1
130,3,200,0.148438,0.053982,1
140,3,200,0.164062,0.051537,1
150,3,200,0.171875,0.056147,1
160,3,200,0.164062,0.055451,1
170,3,200,0.140625,0.053421,1
180,3,200,0.164062,0.0581825,1
190,3,200,0.1875,0.066271,1
200,3,200,0.171875,0.0522265,1
210,3,200,0.195312,0.064165,1
220,3,200,0.195312,0.069113,1
230,3,200,0.1875,0.0687375,1
240,3,200,0.179688,0.0647445,1
250,3,200,0.171875,0.073184,1
260,3,200,0.171875,0.0714765,1
270,3,200,0.195312,0.0693095,1
280,3,200,0.1875,0.0642195,1
290,3,200,0.1875,0.0731105,1
300,3,200,0.21875,0.074992,1
310,3,200,0.1875,0.074893,1
320,3,200,0.1875,0.0758,1
330,3,200,0.210938,0.084448,1
340,3,200,0.203125,0.0789975,1
350,3,200,0.1875,0.0788105,1
360,3,200,0.179688,0.081422,1
370,3,200,0.210938,0.083253,1
380,3,200,0.210938,0.079659,1
390,3,200,0.210938,0.0977405,1
